	WT.day3.11	WT.day3.13	WT.day3.14	WT.day3.15	WT.day3.9	WT.unt.1	WT.unt.2	WT.unt.3	WT.unt.4	WT.unt.7
WT.day3.11	0.0	0.30471318962367555	1.0	0.5018268176835952	0.4351479722323712	1.0	1.0	1.0	1.0	1.0
WT.day3.13	0.30471318962367555	0.0	1.0	0.4978078187796858	0.4059188892948484	1.0	1.0	1.0	1.0	1.0
WT.day3.14	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WT.day3.15	0.5018268176835952	0.4978078187796858	1.0	0.0	0.5524296675191815	1.0	1.0	1.0	1.0	1.0
WT.day3.9	0.4351479722323712	0.4059188892948484	1.0	0.5524296675191815	0.0	1.0	1.0	1.0	1.0	1.0
WT.unt.1	1.0	1.0	1.0	1.0	1.0	0.0	0.7957617829740592	0.7710997442455243	0.9040920716112532	0.943916697113628
WT.unt.2	1.0	1.0	1.0	1.0	1.0	0.7957617829740592	0.0	0.8573255389112167	0.8549506759225429	0.7754841066861528
WT.unt.3	1.0	1.0	1.0	1.0	1.0	0.7710997442455243	0.8573255389112167	0.0	0.8746803069053708	0.8894775301424918
WT.unt.4	1.0	1.0	1.0	1.0	1.0	0.9040920716112532	0.8549506759225429	0.8746803069053708	0.0	0.9386189258312021
WT.unt.7	1.0	1.0	1.0	1.0	1.0	0.943916697113628	0.7754841066861528	0.8894775301424918	0.9386189258312021	0.0
