	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
WT.day3.14	0.0	0.608777358640346	0.8150602562364351	0.809095818943216	0.8105722630548513	0.8224621294280977	0.8214985625517355	0.5647838781926615	0.5934354074799935	0.5021114742950258
WT.day3.15	0.608777358640346	0.0	0.7699321851885114	0.7600914393936591	0.7549662285983559	0.771737863626451	0.7591659220661957	0.43212376785446305	0.5222813943576474	0.5065215437983961
WT.unt.4	0.8150602562364351	0.7699321851885114	0.0	0.4011603389007449	0.3917264212352921	0.4189295091214147	0.3696519364591798	0.7690249781375625	0.8097221729221747	0.7874309647804285
WT.unt.2	0.809095818943216	0.7600914393936591	0.4011603389007449	0.0	0.3716150196239236	0.37171955512640953	0.3943274963360984	0.7568320291094807	0.781045261634031	0.7785973043945962
WT.unt.1	0.8105722630548513	0.7549662285983559	0.3917264212352921	0.3716150196239236	0.0	0.3533532217783465	0.37621273366978014	0.7637119602078399	0.8001751679219005	0.7944987940590034
WT.unt.3	0.8224621294280977	0.771737863626451	0.4189295091214147	0.37171955512640953	0.3533532217783465	0.0	0.39482238254750945	0.7576276413824643	0.7954286585141244	0.7818281461562232
WT.unt.7	0.8214985625517355	0.7591659220661957	0.3696519364591798	0.3943274963360984	0.37621273366978014	0.39482238254750945	0.0	0.7662332500050143	0.7976474109075405	0.779585655183289
WT.day3.11	0.5647838781926615	0.43212376785446305	0.7690249781375625	0.7568320291094807	0.7637119602078399	0.7576276413824643	0.7662332500050143	0.0	0.5349443824483435	0.5088266002976798
WT.day3.9	0.5934354074799935	0.5222813943576474	0.8097221729221747	0.781045261634031	0.8001751679219005	0.7954286585141244	0.7976474109075405	0.5349443824483435	0.0	0.5246550008543314
WT.day3.13	0.5021114742950258	0.5065215437983961	0.7874309647804285	0.7785973043945962	0.7944987940590034	0.7818281461562232	0.779585655183289	0.5088266002976798	0.5246550008543314	0.0
