OTU_ID	Q1 	Q2	DADA2
"Unassigned;Other"	0.00147701	0	0
"k__Bacteria;Other"	0.0000256871	0.05330654	0.0000702576112412178
"k__Bacteria;p__Actinobacteria"	0.008040072	0.011636829	0.00566744730679157
"k__Bacteria;p__Bacteroidetes"	0.569226817	0.584508586	0.579941451990632
"k__Bacteria;p__Cyanobacteria"	0.003737478	0.003635367	0.00405152224824356
"k__Bacteria;p__Deferribacteres"	0.005471359	0.004493972	0.00444964871194379
"k__Bacteria;p__Firmicutes"	0.228512715	0.203324808	0.22652224824356
"k__Bacteria;p__Proteobacteria"	0.17860262	0.133777859	0.17440281030445
"k__Bacteria;p__Saccharibacteria"	0	0	0.00279859484777518
"k__Bacteria;p__TM7"	0.002607244	0.003562294	0
"k__Bacteria;p__Tenericutes"	0.000680709	0.000566313	0.000562060889929742
"k__Bacteria;p__Verrucomicrobia"	0.001618289	0.001187431	0.00152224824355972
"k__Eukaryota;p__"	0	0	0.0000117096018735363
