index,k__Bacteria,AntibioticUsage,DaySinceExperimentStart,Genotype,Description
WT.day3.11,6518.0,Streptomycin,DAY3,WT,16S_WT_day3_11_SRR2628505_1
WT.day3.13,6867.0,Streptomycin,DAY3,WT,16S_WT_day3_13_SRR2628506_1
WT.day3.14,6669.0,Streptomycin,DAY3,WT,16S_WT_day3_14_SRR2627471_1
WT.day3.15,5474.0,Streptomycin,DAY3,WT,16S_WT_day3_15_SRR2628507_1
WT.day3.9,5802.0,Streptomycin,DAY3,WT,16S_WT_day3_9_SRR2628504_1
WT.unt.1,8717.0,None,DAY0,WT,16S_WT_unt_1_SRR2627457_1
WT.unt.2,8951.0,None,DAY0,WT,16S_WT_unt_2_SRR2627461_1
WT.unt.3,8299.0,None,DAY0,WT,16S_WT_unt_3_SRR2627463_1
WT.unt.4,7630.0,None,DAY0,WT,16S_WT_unt_4_SRR2627464_1
WT.unt.7,8437.0,None,DAY0,WT,16S_WT_unt_7_SRR2627465_1
