index,k__Bacteria;__;__;__;__;__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__,k__Bacteria;p__Bacteroidetes;__;__;__;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella],k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Proteobacteria;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia,k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,AntibioticUsage,DaySinceExperimentStart,Genotype,Description
WT.day3.11,0.0,0.0,65.0,0.0,0.0,3515.0,285.0,0.0,357.0,0.0,956.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,0.0,491.0,342.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_11_SRR2628505_1
WT.day3.13,0.0,0.0,240.0,0.0,0.0,4811.0,187.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,523.0,393.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_13_SRR2628506_1
WT.day3.14,196.0,0.0,71.0,0.0,0.0,2513.0,0.0,0.0,107.0,0.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2473.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_14_SRR2627471_1
WT.day3.15,0.0,297.0,0.0,0.0,23.0,2208.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.0,1089.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_15_SRR2628507_1
WT.day3.9,0.0,33.0,0.0,316.0,0.0,3930.0,56.0,0.0,78.0,0.0,822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_9_SRR2628504_1
WT.unt.1,1143.0,0.0,0.0,0.0,0.0,157.0,0.0,71.0,452.0,50.0,2102.0,53.0,253.0,89.0,131.0,0.0,0.0,931.0,94.0,41.0,2037.0,0.0,207.0,0.0,709.0,50.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,50.0,0.0,27.0,None,DAY0,WT,16S_WT_unt_1_SRR2627457_1
WT.unt.2,1392.0,0.0,0.0,0.0,64.0,171.0,58.0,269.0,566.0,0.0,2536.0,84.0,247.0,43.0,0.0,0.0,0.0,464.0,0.0,0.0,2306.0,0.0,52.0,0.0,556.0,92.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,None,DAY0,WT,16S_WT_unt_2_SRR2627461_1
WT.unt.3,683.0,0.0,0.0,0.0,33.0,185.0,0.0,72.0,492.0,79.0,4521.0,0.0,290.0,92.0,25.0,0.0,76.0,200.0,0.0,0.0,631.0,0.0,33.0,75.0,417.0,0.0,0.0,0.0,17.0,0.0,212.0,0.0,49.0,0.0,0.0,64.0,53.0,0.0,None,DAY0,WT,16S_WT_unt_3_SRR2627463_1
WT.unt.4,264.0,0.0,0.0,0.0,21.0,0.0,0.0,99.0,335.0,127.0,2179.0,107.0,131.0,97.0,127.0,0.0,0.0,853.0,64.0,46.0,1796.0,176.0,39.0,125.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,70.0,0.0,0.0,54.0,0.0,0.0,None,DAY0,WT,16S_WT_unt_4_SRR2627464_1
WT.unt.7,842.0,0.0,0.0,0.0,65.0,125.0,0.0,76.0,344.0,86.0,2462.0,42.0,400.0,0.0,75.0,0.0,0.0,290.0,438.0,36.0,2135.0,0.0,52.0,134.0,489.0,27.0,29.0,0.0,0.0,45.0,0.0,0.0,86.0,0.0,0.0,77.0,0.0,82.0,None,DAY0,WT,16S_WT_unt_7_SRR2627465_1
