sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-667_iter-1,depth-667_iter-2,depth-667_iter-3,depth-667_iter-4,depth-667_iter-5,depth-667_iter-6,depth-667_iter-7,depth-667_iter-8,depth-667_iter-9,depth-667_iter-10,depth-1334_iter-1,depth-1334_iter-2,depth-1334_iter-3,depth-1334_iter-4,depth-1334_iter-5,depth-1334_iter-6,depth-1334_iter-7,depth-1334_iter-8,depth-1334_iter-9,depth-1334_iter-10,depth-2000_iter-1,depth-2000_iter-2,depth-2000_iter-3,depth-2000_iter-4,depth-2000_iter-5,depth-2000_iter-6,depth-2000_iter-7,depth-2000_iter-8,depth-2000_iter-9,depth-2000_iter-10,depth-2667_iter-1,depth-2667_iter-2,depth-2667_iter-3,depth-2667_iter-4,depth-2667_iter-5,depth-2667_iter-6,depth-2667_iter-7,depth-2667_iter-8,depth-2667_iter-9,depth-2667_iter-10,depth-3333_iter-1,depth-3333_iter-2,depth-3333_iter-3,depth-3333_iter-4,depth-3333_iter-5,depth-3333_iter-6,depth-3333_iter-7,depth-3333_iter-8,depth-3333_iter-9,depth-3333_iter-10,depth-4000_iter-1,depth-4000_iter-2,depth-4000_iter-3,depth-4000_iter-4,depth-4000_iter-5,depth-4000_iter-6,depth-4000_iter-7,depth-4000_iter-8,depth-4000_iter-9,depth-4000_iter-10,depth-4666_iter-1,depth-4666_iter-2,depth-4666_iter-3,depth-4666_iter-4,depth-4666_iter-5,depth-4666_iter-6,depth-4666_iter-7,depth-4666_iter-8,depth-4666_iter-9,depth-4666_iter-10,depth-5333_iter-1,depth-5333_iter-2,depth-5333_iter-3,depth-5333_iter-4,depth-5333_iter-5,depth-5333_iter-6,depth-5333_iter-7,depth-5333_iter-8,depth-5333_iter-9,depth-5333_iter-10,depth-6000_iter-1,depth-6000_iter-2,depth-6000_iter-3,depth-6000_iter-4,depth-6000_iter-5,depth-6000_iter-6,depth-6000_iter-7,depth-6000_iter-8,depth-6000_iter-9,depth-6000_iter-10,AntibioticUsage,DaySinceExperimentStart,Genotype,Description
WT.day3.11,1,1,1,1,1,1,1,1,1,1,23,23,23,23,23,23,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,Streptomycin,DAY3,WT,16S_WT_day3_11_SRR2628505_1
WT.day3.13,1,1,1,1,1,1,1,1,1,1,17,16,17,17,16,17,16,16,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Streptomycin,DAY3,WT,16S_WT_day3_13_SRR2628506_1
WT.day3.14,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,Streptomycin,DAY3,WT,16S_WT_day3_14_SRR2627471_1
WT.day3.15,1,1,1,1,1,1,1,1,1,1,14,14,14,14,13,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,Streptomycin,DAY3,WT,16S_WT_day3_15_SRR2628507_1
WT.day3.9,1,1,1,1,1,1,1,1,1,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,Streptomycin,DAY3,WT,16S_WT_day3_9_SRR2628504_1
WT.unt.1,1,1,1,1,1,1,1,1,1,1,57,58,58,58,59,56,59,58,58,57,58,58,59,58,58,59,59,58,58,58,59,59,59,58,58,59,59,59,59,58,58,59,59,59,58,58,58,59,59,58,59,59,58,59,58,59,58,58,58,59,59,59,59,59,59,58,59,59,59,59,58,58,59,59,58,59,59,59,59,59,59,59,59,59,59,59,59,58,59,59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,None,DAY0,WT,16S_WT_unt_1_SRR2627457_1
WT.unt.2,1,1,1,1,1,1,1,1,1,1,46,46,43,46,45,45,46,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,None,DAY0,WT,16S_WT_unt_2_SRR2627461_1
WT.unt.3,1,1,1,1,1,1,1,1,1,1,55,54,53,55,54,54,51,52,54,53,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,None,DAY0,WT,16S_WT_unt_3_SRR2627463_1
WT.unt.4,1,1,1,1,1,1,1,1,1,1,49,47,47,49,49,47,47,47,49,48,49,49,49,49,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,None,DAY0,WT,16S_WT_unt_4_SRR2627464_1
WT.unt.7,1,1,1,1,1,1,1,1,1,1,48,47,47,48,48,47,47,46,49,47,49,49,47,48,49,49,49,49,49,48,48,48,48,49,49,49,49,49,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,None,DAY0,WT,16S_WT_unt_7_SRR2627465_1
