sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-667_iter-1,depth-667_iter-2,depth-667_iter-3,depth-667_iter-4,depth-667_iter-5,depth-667_iter-6,depth-667_iter-7,depth-667_iter-8,depth-667_iter-9,depth-667_iter-10,depth-1334_iter-1,depth-1334_iter-2,depth-1334_iter-3,depth-1334_iter-4,depth-1334_iter-5,depth-1334_iter-6,depth-1334_iter-7,depth-1334_iter-8,depth-1334_iter-9,depth-1334_iter-10,depth-2000_iter-1,depth-2000_iter-2,depth-2000_iter-3,depth-2000_iter-4,depth-2000_iter-5,depth-2000_iter-6,depth-2000_iter-7,depth-2000_iter-8,depth-2000_iter-9,depth-2000_iter-10,depth-2667_iter-1,depth-2667_iter-2,depth-2667_iter-3,depth-2667_iter-4,depth-2667_iter-5,depth-2667_iter-6,depth-2667_iter-7,depth-2667_iter-8,depth-2667_iter-9,depth-2667_iter-10,depth-3333_iter-1,depth-3333_iter-2,depth-3333_iter-3,depth-3333_iter-4,depth-3333_iter-5,depth-3333_iter-6,depth-3333_iter-7,depth-3333_iter-8,depth-3333_iter-9,depth-3333_iter-10,depth-4000_iter-1,depth-4000_iter-2,depth-4000_iter-3,depth-4000_iter-4,depth-4000_iter-5,depth-4000_iter-6,depth-4000_iter-7,depth-4000_iter-8,depth-4000_iter-9,depth-4000_iter-10,depth-4666_iter-1,depth-4666_iter-2,depth-4666_iter-3,depth-4666_iter-4,depth-4666_iter-5,depth-4666_iter-6,depth-4666_iter-7,depth-4666_iter-8,depth-4666_iter-9,depth-4666_iter-10,depth-5333_iter-1,depth-5333_iter-2,depth-5333_iter-3,depth-5333_iter-4,depth-5333_iter-5,depth-5333_iter-6,depth-5333_iter-7,depth-5333_iter-8,depth-5333_iter-9,depth-5333_iter-10,depth-6000_iter-1,depth-6000_iter-2,depth-6000_iter-3,depth-6000_iter-4,depth-6000_iter-5,depth-6000_iter-6,depth-6000_iter-7,depth-6000_iter-8,depth-6000_iter-9,depth-6000_iter-10,AntibioticUsage,DaySinceExperimentStart,Genotype,Description
WT.day3.11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.9408308163091155,3.898750101157323,3.9859435336838023,3.9433829088563015,3.983607379434967,3.8992004125147046,3.9477041059565727,3.8775948001707565,3.9475509168987784,3.967410946191377,3.920777904659892,3.9379470966771395,3.9497717449848433,3.9671551993517786,3.951958765181987,3.9082082134815583,3.956596793475957,3.922546415246851,3.9734468113036403,3.9256081828932348,3.9402853568279657,3.9810367859762557,3.986909033969533,3.91028420634725,3.9624716127758237,3.9796475417911847,3.9547512133791467,3.98653125980958,3.969701981850466,4.001991733817279,3.9336438536030034,3.9364284343935694,3.9536030676877467,3.9561210578320205,3.9633084827902265,3.957392733186114,3.939867884674737,3.94033481784547,3.9708878432272567,3.926058880782255,3.9300859224750435,3.952093708214856,3.939227767252077,3.947342013109267,3.9328021687354853,3.9387462234451616,3.945856728269398,3.9672079558534232,3.9345083445337585,3.937595436372695,3.9555024164768184,3.954060163678158,3.9578609032980236,3.966197436304556,3.9425896171839767,3.9518228495299828,3.9769426810243074,3.946277032997066,3.9247992976278328,3.975727270844279,3.9579680887677586,3.9566232716838026,3.971825408705502,3.9528285917748813,3.971025281914278,3.965896494314526,3.955056528757229,3.961474072531777,3.9742200533627696,3.966367691440547,3.9545482292873175,3.9512512461095497,3.955196145252936,3.9685854238378226,3.9612326905310398,3.9511616947644423,3.963562030589805,3.9632990836881614,3.971629687786332,3.954277254285776,3.9589989293332764,3.949954635547532,3.9622150423523648,3.955215626996178,3.960150351438189,3.9560547679221103,3.956544284895551,3.962067018150459,3.957914176634181,3.9605342020076195,Streptomycin,DAY3,WT,16S_WT_day3_11_SRR2628505_1
WT.day3.13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.3523037340808126,3.3763876914031656,3.341796912770873,3.2754467374041467,3.266241726870019,3.3168424855685927,3.324236901230728,3.2122346207246415,3.298679987587382,3.2816853110925166,3.3179238691786885,3.3137209685871625,3.3548511820953766,3.310471429278437,3.329257642241272,3.3025297144469827,3.2983157077052403,3.383208324745691,3.2754161935422355,3.3186723275254275,3.343429851124023,3.3206386894526205,3.3278869259492496,3.3330435121860478,3.295676197817018,3.312119546671337,3.291474697866056,3.2936019220910557,3.2848215607984264,3.348109931714672,3.298751489625371,3.309780180292025,3.3310615296242023,3.3131652446766697,3.3145558428606847,3.308473529206408,3.3198680319555662,3.3169208177781435,3.2993697559008934,3.3000129096240496,3.293651696720317,3.313431450549164,3.2786796090952293,3.320104741587536,3.304277950215327,3.3181908275076153,3.313682410727842,3.310945756610742,3.3081472156553233,3.3106740088226196,3.30922426457185,3.317757900350706,3.317035953646044,3.3438975883941344,3.320766504978775,3.3061225746331884,3.341847199598675,3.3457428169247008,3.3273595292826816,3.30103237248654,3.3299081415181733,3.3223561660849725,3.3425704254873314,3.3282678917689466,3.3541554282097787,3.3167871992601157,3.342987551166356,3.339914047167582,3.326612314187636,3.3193297733286258,3.322747418900815,3.3188660745855048,3.328334590723367,3.314673320799379,3.3301474004942757,3.3243554693595434,3.3281488989893235,3.317487601828028,3.326390124256643,3.3285266568619765,3.321492582805072,3.3249548823280652,3.3299748458847698,3.3296605540050477,3.3297146191076825,3.318163425035065,3.317892046424616,3.314729536098176,3.3254661050110643,3.3227023923635035,Streptomycin,DAY3,WT,16S_WT_day3_13_SRR2628506_1
WT.day3.14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.806849844666737,2.8089899257197493,2.793756276154635,2.7846848314921386,2.745499684324294,2.8106097759696262,2.844161430262382,2.829101461465418,2.8587607933074373,2.799036821213818,2.8630563599098124,2.7993089248721854,2.7973311844829323,2.8305851147821763,2.8300670844450178,2.8166278698257736,2.80102463529829,2.844653189974625,2.806414711329835,2.812680774766994,2.83787569459248,2.81846603210901,2.8207213110232487,2.820258532908297,2.8082619566753184,2.8145584023470653,2.8351395193304576,2.8142379915203652,2.8416010029809993,2.8041360847195103,2.8182621588294325,2.825749777155932,2.823924780643229,2.8334987748367695,2.816219635595056,2.845876395451194,2.8305582645655276,2.812736353878491,2.8294471964644625,2.823828172230425,2.8069187084585776,2.8186843496223637,2.8570963513521686,2.851177283567758,2.814151007570354,2.8382703398740396,2.8399778551642405,2.84839506831709,2.831925336531778,2.819848321836104,2.817881049972877,2.833069248353257,2.8399615163399865,2.8216771758662156,2.823722915851737,2.8441477292540522,2.832911907462958,2.8273706260466756,2.8330982152393895,2.801951867041991,2.8339902634857315,2.828159468583026,2.8216014535691754,2.828587653503283,2.8161567317626335,2.834174022414274,2.8282715354537444,2.8235084386940374,2.820142382598327,2.827101724972854,2.83910859884156,2.8247172184010583,2.8262187056994104,2.826102220017341,2.83878975100725,2.8221288991614983,2.829548794899278,2.8349429275023352,2.8296367418970374,2.825578821385623,2.8329584627601374,2.8292234659317788,2.827633947374393,2.8349466845161837,2.8300259630507196,2.8294204413410964,2.829836026670452,2.832063981226054,2.8255246756769674,2.8364751327286615,Streptomycin,DAY3,WT,16S_WT_day3_14_SRR2627471_1
WT.day3.15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.0466118133145064,3.054611938709563,3.1018765620117845,3.1100775309173603,3.0967948057872197,3.066899257651625,3.0274503228671863,3.1759771705881152,3.069837082083196,3.124125043452616,3.05629960156359,3.0967219750932897,3.145056388061272,3.1096375405577863,3.0997949348175076,3.0629136785427424,3.09233343426705,3.0675667816999437,3.1216555876453773,3.121982322982559,3.1116260925905475,3.101925802420147,3.1133280829644083,3.0852437677175715,3.065604062756571,3.0858397174152747,3.0968939445726926,3.0842425707275107,3.0609446388738615,3.1259502983511522,3.103923310288622,3.064034829856071,3.0991463434664444,3.095040087632107,3.0861641888930804,3.1266388796881346,3.106504953082398,3.1225092155453873,3.081561507829932,3.1114616992019872,3.121096978769181,3.099996557098725,3.0962993864358017,3.0903175346280656,3.13512631533597,3.12371828256938,3.0996157893493455,3.103456371260417,3.1002609022696164,3.102466274829905,3.0930371003136434,3.0938456565716663,3.0875359994827907,3.107149491286933,3.090501149109904,3.1035758859217717,3.0974952944897547,3.0955473634375057,3.086011993827369,3.0872572598762233,3.0949466850013696,3.0998800969871314,3.0895939572154147,3.0972478463003603,3.1024812060262166,3.096372079562056,3.091408096078135,3.1038728438757652,3.094405534545704,3.1019827965107165,3.096313196630284,3.100924744120166,3.1028492913316548,3.0994954472823366,3.097738584178734,3.1021640564076365,3.098460729270075,3.106828035412918,3.099427540936207,3.099914237498579,,,,,,,,,,,Streptomycin,DAY3,WT,16S_WT_day3_15_SRR2628507_1
WT.day3.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.6182015664844163,3.6566717321921547,3.679893060506924,3.650581526309209,3.688808608658614,3.646475692360671,3.6654415279783743,3.7053807034313957,3.605415467849958,3.7008981896573228,3.6071487523655485,3.634350463127348,3.666339416533259,3.673143422016766,3.646116136850256,3.7105794065606807,3.728410284432897,3.701283873440845,3.676727350142269,3.670631979041035,3.6235026999724735,3.655693860076794,3.645274644987844,3.6497875957523127,3.6846451470609245,3.6686924120972972,3.6577419300182634,3.6594174658494807,3.6979211034768893,3.670274612343293,3.6692586789869313,3.6828829716257707,3.708283450796801,3.67424248435657,3.6672045484542064,3.6975319974139755,3.6712952994735084,3.6754737009506657,3.6650159610500843,3.667089486931383,3.6860096112541902,3.684030541446875,3.6706237704188553,3.6760064706135887,3.649849539690109,3.6677661977820977,3.6999860770324093,3.6753931863427876,3.663779007261665,3.679391124239141,3.6759616065563097,3.6779976956031164,3.6941699507170753,3.6736170291452206,3.670821799197079,3.67452834849909,3.6580815192266023,3.6580598599421354,3.653911971681897,3.6679185282304267,3.6783952792279,3.6755734459843143,3.673304037613223,3.6731918619056443,3.674405006098581,3.6842477978367194,3.671787100075786,3.6706484840568097,3.6556262897772003,3.6744144499968776,3.6716119745792595,3.6692883504997154,3.670681127936337,3.6693191302470805,3.6719509565468056,3.668050464650102,3.676608407875082,3.670615993300684,3.6794917547144546,3.6718633236696077,,,,,,,,,,,Streptomycin,DAY3,WT,16S_WT_day3_9_SRR2628504_1
WT.unt.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.275731654318128,5.341392299006937,5.28908224274759,5.228776203536248,5.296455088434826,5.2127710663884725,5.27359789132562,5.275513486383038,5.3086203905292315,5.266479047327673,5.280064704370325,5.298093422443639,5.342738024060072,5.367955949612854,5.322355945990752,5.388291994567359,5.290099903346003,5.3338629832768785,5.305105363162841,5.284822778479177,5.292259513847458,5.316057090355856,5.349059119180612,5.320023243006532,5.305576159720895,5.317211322270925,5.303959895156336,5.307458776444203,5.301375710981247,5.32158990957584,5.324983360731242,5.329354545035905,5.3133782739953155,5.345268940227201,5.3376392757709255,5.277600701771753,5.329823149441253,5.307435812175087,5.276521839265014,5.262324712360655,5.3287238312741545,5.306915760113009,5.327483130965203,5.3530074819161495,5.319149050611285,5.31018503976469,5.327734268708363,5.312970253597341,5.3051253913295575,5.313696361320456,5.3032201799024286,5.311778915887664,5.331078852255601,5.312050810895137,5.3336749343938035,5.326561905707401,5.361707345196184,5.327081069337693,5.33661207769473,5.319981408325564,5.320610302023193,5.345605632152019,5.342011599415435,5.326277450838474,5.335866422635027,5.303788619418538,5.313309463533466,5.3233382332894195,5.333318335182922,5.318649882025714,5.336445845533177,5.328829392491622,5.3390259742143025,5.3382953237661335,5.337722361405514,5.337008954658096,5.313782662093683,5.333916614374179,5.336386635542817,5.337306676326227,5.335771500860106,5.337633759119373,5.324870736475917,5.33614549989617,5.322063516236568,5.326174682964676,5.3151201692338,5.324358977594788,5.332209343602667,5.327987695267246,None,DAY0,WT,16S_WT_unt_1_SRR2627457_1
WT.unt.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.966752087671543,4.926439344148765,4.827843365259296,5.035443134320178,4.92804126447141,4.940695124244711,4.9291257327421,4.956045037241591,4.99189826075034,4.951439964313761,4.928035147878889,4.964650671511338,5.007909063787947,4.992026874856099,5.00129851817013,4.989403700014294,4.931009813246712,4.96477193578233,5.0087018710499365,4.965257390339645,4.952671569121408,4.9823599051030065,4.980133719131088,5.020282221818828,4.98124854679861,5.010547205261251,5.0088269130685745,5.023664325326205,5.0106173335258894,4.990229813031629,5.010436218990579,5.0352016770109564,5.011459461647099,5.009406335647462,5.041543823121905,4.995604738403587,4.983233408526501,5.001804195620103,4.9956509370396285,4.989589179356395,5.012213092956167,4.984426508367659,5.000869701697122,5.009781757423848,4.989149649742352,5.023106461360915,5.009224806278493,5.023824853564165,4.979084621189843,5.011222250012575,5.002070444666056,4.982505490473801,4.99256833787431,4.998810970241256,4.98355551906373,5.011222094627443,5.003722155865832,5.008247748761724,4.988992555742683,4.992831736488323,5.012669852103067,5.005932086516604,5.0066815243053275,5.0094720973569835,5.017703333804267,5.0031016120494245,5.015711170610271,4.983852594723346,5.022747587395746,4.993863939873757,5.002322832606824,4.989713625421271,5.004466005325014,5.000667755063041,4.993639943605672,5.000511728815943,5.011124383812501,5.029219768635596,4.999368422527541,4.997025485266939,4.995027372339313,5.010027154786538,4.994489177585361,5.004937205725854,4.9967698887244385,4.994090966132865,5.001920176111373,4.969637097937806,4.99876058325971,5.0026074346776985,None,DAY0,WT,16S_WT_unt_2_SRR2627461_1
WT.unt.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.239888687110346,5.236980854240373,5.122740853695099,5.216571190527329,5.073006359934527,5.205272362985033,5.161679962347597,5.184782917839463,5.215938220900745,5.141435146450193,5.293466471214439,5.2501175529951585,5.233532250067081,5.238837828134168,5.277817718729069,5.224584687268825,5.268598414821391,5.237224481364673,5.2240160916459555,5.2036021753669255,5.220617811401001,5.229093234259804,5.213355780650268,5.209568393399719,5.192300402275519,5.284135418362865,5.1885585428228165,5.207541120509552,5.2406030994710235,5.204625713588833,5.23240960179068,5.2453362693996635,5.230424984887591,5.247221094474182,5.248466613354558,5.232652760969235,5.247319779403563,5.209543988220854,5.254995432287687,5.2451983330925,5.2608819193804415,5.261682786459687,5.258985501052163,5.253328320522185,5.229253580848599,5.239524344515531,5.247081805564932,5.227332487797384,5.23862659823191,5.246478792478406,5.241735702128481,5.2702220059242055,5.251208450633927,5.23429179101298,5.25405230429225,5.2468063594010905,5.242556901289426,5.257009146508059,5.265130467576234,5.257244009098851,5.23865469562996,5.2505035667781055,5.248320575543244,5.256076420903933,5.249318229766052,5.2451903659861525,5.271206178531692,5.241515692866556,5.262601625675651,5.249618928448605,5.260596493284995,5.249969407173013,5.254214388139226,5.2674472763359885,5.2292686363244405,5.258363996423474,5.249884363402281,5.253211239222308,5.247826988766822,5.242421777357339,5.263525641586443,5.2666110417936824,5.259926027792706,5.254866828329345,5.261105058041068,5.249242519949583,5.239870197706358,5.252015328769951,5.259073375368587,5.255289689543132,None,DAY0,WT,16S_WT_unt_3_SRR2627463_1
WT.unt.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.110651701448258,5.098720933575467,5.107189736555345,5.145905395038335,5.16636343833666,5.151588898958466,5.184932788793241,5.123963723476401,5.116004584908055,5.16493886084689,5.1713828591791895,5.191916328176759,5.144584923433526,5.197210582211937,5.152937737186226,5.190704632894011,5.208112810760878,5.126774087665703,5.176503890147065,5.13084229193684,5.147203631541148,5.176789109896934,5.192188391629813,5.181127635711495,5.148766372802293,5.147026231971335,5.214682951612912,5.1617380427074275,5.1590214334950595,5.166375018110428,5.199884366626529,5.167407827349676,5.202459840558793,5.1921285351270585,5.205285850776268,5.207808765538597,5.200385593275621,5.211151084293737,5.174857144674906,5.189598335841861,5.219922495396898,5.196276380156424,5.167832262563001,5.17843324811706,5.1932350807553,5.193019075195568,5.205847730166744,5.191947461045501,5.182507389152892,5.197083255798877,5.183782907832955,5.182830619684335,5.191558964635905,5.178519268763075,5.180794850733789,5.181550283804138,5.176008512977739,5.1844303578299105,5.2018019265873585,5.199779878024463,5.184145095649191,5.197154190245801,5.189725181596733,5.176767651841509,5.185536403430949,5.199466093115417,5.195339723937956,5.193654085909746,5.178821549110178,5.188334611097026,5.2024432880230425,5.192132693938105,5.1910228719202784,5.186521050896707,5.202909748370445,5.193343447371704,5.1886906174748795,5.197181261021849,5.179005742153322,5.195166766580476,5.196849744309691,5.202025835327756,5.187104536446025,5.184633105119842,5.192950907767472,5.195002525359213,5.188948166525067,5.187310354309946,5.1951699395689515,5.193233719100949,None,DAY0,WT,16S_WT_unt_4_SRR2627464_1
WT.unt.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.046286142669306,4.945746302511062,4.905579509046926,4.911051547436909,5.019398875718587,5.006116589216358,4.949978096175957,4.953039041514871,4.956249948123226,4.93233423608913,5.025046846473192,5.001414102005175,4.989164169197215,5.067228112059893,5.052097765287933,5.019491296720571,4.997530915721498,4.999837279554776,4.9814083695472995,5.006983604824442,5.007690276204942,5.016614345386566,5.005488009873074,4.968473719508993,5.051593393936334,5.03923567384167,5.023686074939736,5.0472770122719,4.989936349235474,5.023973415051423,4.999058252985249,5.048750872887329,5.024345559006454,5.019808349369118,5.0101234735023725,5.022994681450584,5.018399224025189,5.013405790701839,5.046776020607637,4.996483579864321,5.0404020732487655,5.018526202773468,5.044869632292595,5.0338668045037185,5.010499295540929,5.037538278536608,5.014361513139393,5.0355678382386,5.017309125274843,4.989661363504995,5.039471041125096,5.01338345795464,5.014110969851946,5.018572504772532,5.031737004726657,4.998480892461076,5.041374560618982,5.030098833460761,5.03701640236263,5.017941255763764,5.01324415147182,5.023526822705465,5.030906729392932,5.018614457668413,5.04281159550546,5.025876790327832,5.017859169569238,5.028535488506106,5.05525719520235,5.03528343947316,5.030567230654193,5.022918280316063,5.028056183987697,5.027406380135983,5.016922788592266,5.0244911438498905,5.049315860033014,5.020868873747976,5.011950195129053,5.033786274109035,5.035049230977944,5.033926114351088,5.031662377153153,5.016025673419528,5.034126284071468,5.027701553791576,5.014891902859477,5.027641019054039,5.031430518572775,5.0290091784553,None,DAY0,WT,16S_WT_unt_7_SRR2627465_1
