	SubjectID1	SubjectID2	Group1	Group2	Distance
0	WT.unt.2	WT.unt.1	None	None	0.4845314160322652
1	WT.unt.3	WT.unt.1	None	None	0.6745477557126031
2	WT.unt.3	WT.unt.2	None	None	0.5994169282340318
3	WT.unt.4	WT.unt.1	None	None	0.6711466533501947
4	WT.unt.4	WT.unt.2	None	None	0.6244050987138057
5	WT.unt.4	WT.unt.3	None	None	0.4620095461752368
6	WT.unt.7	WT.unt.1	None	None	0.6231031558684099
7	WT.unt.7	WT.unt.2	None	None	0.6558524719343828
8	WT.unt.7	WT.unt.3	None	None	0.48803010476801656
9	WT.unt.7	WT.unt.4	None	None	0.4134696395455889
10	WT.unt.1	WT.day3.11	None	Streptomycin	0.8786644205018876
11	WT.unt.1	WT.day3.13	None	Streptomycin	0.8806425394123535
12	WT.unt.1	WT.day3.15	None	Streptomycin	0.9148380053790408
13	WT.unt.1	WT.day3.14	None	Streptomycin	0.8967373430503724
14	WT.unt.1	WT.day3.9	None	Streptomycin	0.8746336928835304
15	WT.unt.2	WT.day3.11	None	Streptomycin	0.8511998456096505
16	WT.unt.2	WT.day3.13	None	Streptomycin	0.8606786151264068
17	WT.unt.2	WT.day3.15	None	Streptomycin	0.8599796600165553
18	WT.unt.2	WT.day3.14	None	Streptomycin	0.853096844386831
19	WT.unt.2	WT.day3.9	None	Streptomycin	0.8231390021807311
20	WT.unt.3	WT.day3.11	None	Streptomycin	0.7444734866425612
21	WT.unt.3	WT.day3.13	None	Streptomycin	0.7877561558602736
22	WT.unt.3	WT.day3.15	None	Streptomycin	0.7797369297103598
23	WT.unt.3	WT.day3.14	None	Streptomycin	0.8230349155804234
24	WT.unt.3	WT.day3.9	None	Streptomycin	0.7438153243831138
25	WT.unt.4	WT.day3.11	None	Streptomycin	0.8241412897654785
26	WT.unt.4	WT.day3.13	None	Streptomycin	0.8192308818593196
27	WT.unt.4	WT.day3.15	None	Streptomycin	0.8173970165376057
28	WT.unt.4	WT.day3.14	None	Streptomycin	0.8020735475874934
29	WT.unt.4	WT.day3.9	None	Streptomycin	0.7850956989451515
30	WT.unt.7	WT.day3.11	None	Streptomycin	0.7862510476882637
31	WT.unt.7	WT.day3.13	None	Streptomycin	0.7886774935758252
32	WT.unt.7	WT.day3.15	None	Streptomycin	0.8122176058294347
33	WT.unt.7	WT.day3.14	None	Streptomycin	0.8099639210170467
34	WT.unt.7	WT.day3.9	None	Streptomycin	0.7454409977702378
0	WT.day3.13	WT.day3.11	Streptomycin	Streptomycin	0.32662484854096424
1	WT.day3.15	WT.day3.11	Streptomycin	Streptomycin	0.510407359569265
2	WT.day3.15	WT.day3.13	Streptomycin	Streptomycin	0.5312286047163916
3	WT.day3.14	WT.day3.11	Streptomycin	Streptomycin	0.5077407515162686
4	WT.day3.14	WT.day3.13	Streptomycin	Streptomycin	0.4297283655722511
5	WT.day3.14	WT.day3.15	Streptomycin	Streptomycin	0.5228982161700082
6	WT.day3.9	WT.day3.11	Streptomycin	Streptomycin	0.2722494659578059
7	WT.day3.9	WT.day3.13	Streptomycin	Streptomycin	0.30143303613278494
8	WT.day3.9	WT.day3.15	Streptomycin	Streptomycin	0.4847603584274993
9	WT.day3.9	WT.day3.14	Streptomycin	Streptomycin	0.4844631599894245
10	WT.day3.11	WT.unt.1	Streptomycin	None	0.8786644205018876
11	WT.day3.11	WT.unt.2	Streptomycin	None	0.8511998456096505
12	WT.day3.11	WT.unt.3	Streptomycin	None	0.7444734866425612
13	WT.day3.11	WT.unt.4	Streptomycin	None	0.8241412897654785
14	WT.day3.11	WT.unt.7	Streptomycin	None	0.7862510476882637
15	WT.day3.13	WT.unt.1	Streptomycin	None	0.8806425394123535
16	WT.day3.13	WT.unt.2	Streptomycin	None	0.8606786151264068
17	WT.day3.13	WT.unt.3	Streptomycin	None	0.7877561558602736
18	WT.day3.13	WT.unt.4	Streptomycin	None	0.8192308818593196
19	WT.day3.13	WT.unt.7	Streptomycin	None	0.7886774935758252
20	WT.day3.15	WT.unt.1	Streptomycin	None	0.9148380053790408
21	WT.day3.15	WT.unt.2	Streptomycin	None	0.8599796600165553
22	WT.day3.15	WT.unt.3	Streptomycin	None	0.7797369297103598
23	WT.day3.15	WT.unt.4	Streptomycin	None	0.8173970165376057
24	WT.day3.15	WT.unt.7	Streptomycin	None	0.8122176058294347
25	WT.day3.14	WT.unt.1	Streptomycin	None	0.8967373430503724
26	WT.day3.14	WT.unt.2	Streptomycin	None	0.853096844386831
27	WT.day3.14	WT.unt.3	Streptomycin	None	0.8230349155804234
28	WT.day3.14	WT.unt.4	Streptomycin	None	0.8020735475874934
29	WT.day3.14	WT.unt.7	Streptomycin	None	0.8099639210170467
30	WT.day3.9	WT.unt.1	Streptomycin	None	0.8746336928835304
31	WT.day3.9	WT.unt.2	Streptomycin	None	0.8231390021807311
32	WT.day3.9	WT.unt.3	Streptomycin	None	0.7438153243831138
33	WT.day3.9	WT.unt.4	Streptomycin	None	0.7850956989451515
34	WT.day3.9	WT.unt.7	Streptomycin	None	0.7454409977702378
