# Constructed from biom file
#OTU ID	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
Unassigned;Other;Other;Other;Other;Other;Other	0.00025687130747495504	0.0	0.00308245568969946	0.004238376573336759	0.0030824556896994603	0.0026971487284870276	0.0006421782686873876	0.0005137426149499101	0.0	0.00012843565373747752
k__Bacteria;Other;Other;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.00025687130747495504	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__	0.0003853069612124326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__pseudolongum	0.0	0.0	0.0	0.00038530696121243254	0.0	0.0005137426149499101	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__	0.007063960955561264	0.030696121243257126	0.0	0.0	0.0	0.0	0.00025687130747495504	0.006421782686873876	0.002440277421012073	0.024788081171333163
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__	0.0	0.0	0.00012843565373747752	0.0007706139224248652	0.0	0.00038530696121243254	0.0005137426149499101	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.00012843565373747752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012843565373747752	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.00025687130747495504	0.0	0.00012843565373747752	0.00012843565373747752	0.00012843565373747752
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	0.0	0.0016696634985872074	0.002183406113537118	0.00732083226303622	0.0	0.003210891343436938	0.007063960955561264	0.0014127921911122527	0.04187002311841767	0.0005137426149499101
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;Other	0.0	0.0	0.0	0.00012843565373747752	0.00012843565373747752	0.0	0.0	0.00025687130747495504	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.39776521962496825	0.28859491394811204	0.008733624454148471	0.020035961983046493	0.01605445671718469	0.016054456717184692	0.012843565373747753	0.45106601592602125	0.658746468019522	0.6209863858207036
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__acidifaciens	0.00025687130747495504	0.00012843565373747752	0.00012843565373747752	0.00012843565373747752	0.0	0.00025687130747495504	0.00038530696121243254	0.00012843565373747752	0.00012843565373747752	0.00025687130747495504
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	0.0	0.0005137426149499101	0.00012843565373747752	0.0	0.0	0.0	0.0	0.0007706139224248652	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__	0.0	0.0	0.00025687130747495504	0.002183406113537118	0.00038530696121243254	0.0015412278448497304	0.00038530696121243254	0.00012843565373747752	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis	0.009375802722835861	0.0010274852298998202	0.002440277421012073	0.004109940919599282	0.0015412278448497302	0.0046236835345491905	0.0006421782686873876	0.034163883894169016	0.007706139224248652	0.024017467248908294
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__	0.0	0.0	0.0005137426149499101	0.00038530696121243254	0.0006421782686873876	0.0011559208836372978	0.0005137426149499101	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;Other	0.0	0.0	0.00012843565373747752	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	0.0	0.00012843565373747752	0.010146416645260725	0.029411764705882353	0.007320832263036219	0.00821988183919856	0.00732083226303622	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea	0.0	0.0	0.00025687130747495504	0.002697148728487028	0.0005137426149499101	0.0003853069612124326	0.0003853069612124326	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	0.014256357564860003	0.002183406113537118	0.03891600308245568	0.06730028255843822	0.04559465707680451	0.05612638068327767	0.04148471615720524	0.11494991009504237	0.008605188800410994	0.016182892370922165
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12;s__	0.0	0.0	0.014898535833547392	0.0010274852298998202	0.005651168764449011	0.008476753146673515	0.010274852298998202	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__	0.1649113793989214	0.019008476753146666	0.24287182121757064	0.3910865656306208	0.30734651939378493	0.5435396866170036	0.3823529411764722	0.10801438479321855	0.09786796814795784	0.079886976624711
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__	0.0	0.0	0.007577703570511174	0.009504238376573337	0.006036475725661444	0.011173901875160545	0.002697148728487028	0.0	0.00012843565373747752	0.00012843565373747752
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__	0.0	0.0	0.010531723606473156	0.026072437708707936	0.025173388132545594	0.03056768558951965	0.042126894425892625	0.0	0.0	0.00012843565373747752
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	0.00012843565373747752	0.0	0.00012843565373747752	0.0	0.00025687130747495504	0.0	0.00012843565373747752	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__multivorum	0.0017980991523246853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__;s__	0.0	0.0	0.010788594913948112	0.005522733110711534	0.009504238376573337	0.009375802722835858	0.0032108913434369377	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum;s__schaedleri	0.0	0.0	0.01399948625738505	0.013742614949910095	0.013871050603647572	0.002440277421012073	0.007577703570511174	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__	0.00025687130747495504	0.0	0.0	0.0	0.0	0.0	0.0	0.006036475725661444	0.0005137426149499101	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	0.0	0.009247367069098381	0.003981505265861803	0.00012843565373747752	0.003724633958386848	0.006807089648086309	0.0024402774210120727	0.0008990495761623427	0.00025687130747495504	0.0003853069612124326
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri	0.0	0.0008990495761623426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012843565373747752
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other;Other	0.0	0.0	0.00025687130747495504	0.0	0.00038530696121243254	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__	0.0008990495761623427	0.0017980991523246848	0.3964808630875945	0.27189827896224145	0.3846647829437469	0.16760852812740865	0.3106858463909594	0.0015412278448497304	0.0011559208836372978	0.0015412278448497302
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__	0.0	0.0	0.00012843565373747752	0.00012843565373747752	0.0	0.0	0.00025687130747495504	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	0.0	0.0	0.0007706139224248652	0.0012843565373747753	0.0012843565373747753	0.0011559208836372978	0.0015412278448497304	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus;s__	0.0	0.0	0.0	0.00025687130747495504	0.00012843565373747752	0.0006421782686873876	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	0.00012843565373747752	0.0	0.0028255843822245054	0.0	0.0	0.00025687130747495504	0.0	0.0	0.00025687130747495504	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium;s__	0.0	0.0	0.0044952478808117135	0.0017980991523246855	0.0044952478808117135	0.001926534806062163	0.003596198304649371	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other;Other	0.0	0.0	0.0005137426149499101	0.0006421782686873876	0.0007706139224248651	0.00012843565373747752	0.0011559208836372976	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__	0.00025687130747495504	0.0	0.07423580786026199	0.029668636013357303	0.027613665553557654	0.018751605445671705	0.03776008219881838	0.0	0.0	0.00025687130747495504
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__	0.0	0.0	0.003596198304649371	0.003467762650911893	0.0026971487284870276	0.0019265348060621627	0.0015412278448497302	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__	0.0	0.0	0.0	0.00038530696121243254	0.0007706139224248652	0.00012843565373747752	0.00012843565373747752	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus	0.0	0.0	0.00256871307474955	0.002183406113537118	0.0016696634985872078	0.003210891343436938	0.0012843565373747753	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__;s__	0.0	0.0	0.00012843565373747752	0.00012843565373747752	0.0005137426149499101	0.0003853069612124326	0.0003853069612124326	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;Other;Other	0.0	0.0	0.003210891343436938	0.004238376573336759	0.0008990495761623427	0.0003853069612124326	0.004238376573336759	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__	0.0	0.00025687130747495504	0.0319804777806319	0.022989982019008474	0.02504495247880811	0.01721037760082199	0.03416388389416901	0.0005137426149499101	0.0	0.00025687130747495504
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__	0.0	0.003853069612124325	0.07564860005137425	0.03776008219881839	0.05920883637297712	0.028641150783457477	0.03942974569740558	0.001284356537374775	0.0007706139224248652	0.0008990495761623427
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__	0.004109940919599281	0.00012843565373747752	0.007834574877986132	0.01155920883637298	0.016568199332134593	0.005908040071923967	0.007320832263036219	0.0010274852298998202	0.010017980991523246	0.00012843565373747752
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__	0.0	0.0	0.0006421782686873876	0.0012843565373747753	0.00025687130747495504	0.0007706139224248651	0.0010274852298998202	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	0.0003853069612124326	0.0	0.0	0.0003853069612124326	0.00025687130747495504	0.0023118417672745957	0.0010274852298998202	0.0	0.0	0.0
