	chao1	shannon	observed_otus	PD_whole_tree
WT.day3.14	231.11627906976744	3.1900818194749747	194.0	9.144509999999995
WT.day3.15	277.33333333333337	2.0383220899352272	147.0	8.62789999999999
WT.unt.4	1013.1592920353983	7.296604026618254	687.0	22.957199999999926
WT.unt.2	1131.1214953271028	6.941544278971757	695.0	24.783109999999958
WT.unt.1	1086.6	7.239010915373381	696.0	24.28653999999997
WT.unt.3	1099.625	6.950558265454996	705.0	25.255469999999928
WT.unt.7	1034.9661016949153	7.197879811586877	692.0	24.062849999999944
WT.day3.11	275.38709677419354	3.3608478161121824	176.0	10.020049999999985
WT.day3.9	235.0	3.215939650146085	151.0	7.9962099999999925
WT.day3.13	270.22222222222223	2.2782278998263408	159.0	8.817779999999997
