	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
WT.day3.14	0.0	0.6158489596712047	0.9382224505522733	0.9252504495247881	0.9312869252504495	0.9115078345748779	0.923067043411251	0.47110197790906755	0.5208065759054714	0.4770100179809915
WT.day3.15	0.6158489596712047	0.0	0.9739275622912921	0.9755972257898793	0.9752119188286669	0.9743128692525045	0.9730285127151297	0.5414847161572053	0.6453891600308246	0.46390958129976884
WT.unt.4	0.9382224505522733	0.9739275622912921	0.0	0.5372463395838685	0.5209350115592088	0.5630619059851014	0.5214487541741587	0.9428461340868225	0.9458001541227845	0.9522219368096584
WT.unt.2	0.9252504495247881	0.9755972257898793	0.5372463395838685	0.0	0.4353968661700488	0.4571024916516825	0.5131004366812227	0.888646288209607	0.9231954790649884	0.9461854610839969
WT.unt.1	0.9312869252504495	0.9752119188286669	0.5209350115592088	0.4353968661700488	0.0	0.4375802722835859	0.5025687130747496	0.9307731826354996	0.9445157975854097	0.9578731055741073
WT.unt.3	0.9115078345748779	0.9743128692525045	0.5630619059851014	0.4571024916516825	0.4375802722835859	0.0	0.4662214230670434	0.90020549704598	0.9271769843308503	0.951579758540971
WT.unt.7	0.923067043411251	0.9730285127151297	0.5214487541741587	0.5131004366812227	0.5025687130747496	0.4662214230670434	0.0	0.9108656563061907	0.9206267659902388	0.9333418957102492
WT.day3.11	0.47110197790906755	0.5414847161572053	0.9428461340868225	0.888646288209607	0.9307731826354996	0.90020549704598	0.9108656563061907	0.0	0.39275622912920627	0.30272283585923454
WT.day3.9	0.5208065759054714	0.6453891600308246	0.9458001541227845	0.9231954790649884	0.9445157975854097	0.9271769843308503	0.9206267659902388	0.39275622912920627	0.0	0.4835602363216029
WT.day3.13	0.4770100179809915	0.46390958129976884	0.9522219368096584	0.9461854610839969	0.9578731055741073	0.951579758540971	0.9333418957102492	0.30272283585923454	0.4835602363216029	0.0
