	sequences per sample	iteration	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
alpha_rarefaction_10_0.txt	10	0	6.5	12.0	55.0	55.0	13.0	13.0	55.0	7.0	5.5	2.0
alpha_rarefaction_10_1.txt	10	1	4.5	5.0	55.0	23.0	55.0	23.0	13.0	6.5	7.0	6.5
alpha_rarefaction_10_2.txt	10	2	5.0	7.0	55.0	55.0	55.0	29.0	23.0	16.0	12.0	3.0
alpha_rarefaction_10_3.txt	10	3	6.5	8.0	29.0	55.0	23.0	55.0	23.0	12.0	3.0	2.0
alpha_rarefaction_10_4.txt	10	4	6.5	11.0	29.0	55.0	55.0	23.0	55.0	8.0	11.0	4.5
alpha_rarefaction_10_5.txt	10	5	4.5	2.0	23.0	13.0	23.0	23.0	23.0	4.0	3.0	2.0
alpha_rarefaction_10_6.txt	10	6	4.0	2.0	23.0	13.0	12.0	55.0	13.0	5.333333333333333	9.0	7.0
alpha_rarefaction_10_7.txt	10	7	8.0	2.0	23.0	13.0	23.0	55.0	55.0	5.0	4.0	4.5
alpha_rarefaction_10_8.txt	10	8	8.0	2.0	23.0	55.0	23.0	16.0	23.0	6.5	12.0	11.0
alpha_rarefaction_10_9.txt	10	9	5.0	2.0	23.0	23.0	22.0	23.0	55.0	4.0	3.0	4.5
alpha_rarefaction_787_0.txt	787	0	104.33333333333334	59.09090909090909	477.16666666666663	336.6666666666667	458.2631578947369	489.55172413793105	511.5769230769231	117.0	126.85714285714286	77.5
alpha_rarefaction_787_1.txt	787	1	177.42857142857144	82.625	484.3333333333333	492.0	490.03125	409.6595744680851	474.1	154.5	129.0	129.2
alpha_rarefaction_787_2.txt	787	2	140.1	101.375	478.2432432432432	419.93333333333334	440.52941176470586	442.6764705882353	437.4102564102564	135.125	87.25	131.2
alpha_rarefaction_787_3.txt	787	3	173.0	88.42857142857143	472.6363636363636	458.46875	425.33333333333337	516.4102564102564	382.66666666666663	105.14285714285714	84.0	108.0
alpha_rarefaction_787_4.txt	787	4	152.1	107.14285714285714	505.48387096774195	342.4	455.0	398.73809523809524	387.0	198.25	84.0	96.0
alpha_rarefaction_787_5.txt	787	5	181.875	270.0	561.7	489.03125	362.75	494.09375	350.125	112.66666666666666	97.0	107.0
alpha_rarefaction_787_6.txt	787	6	107.0	95.16666666666666	456.2941176470588	444.25	425.5681818181818	345.0238095238095	462.3235294117647	91.5	70.75	76.5
alpha_rarefaction_787_7.txt	787	7	112.57142857142857	137.0	360.4102564102564	496.3333333333333	454.0	447.33333333333337	409.57142857142856	85.66666666666667	100.42857142857143	139.0
alpha_rarefaction_787_8.txt	787	8	165.5	74.33333333333334	520.1612903225807	425.02777777777777	483.0	601.5769230769231	492.7	123.2	107.14285714285714	87.16666666666666
alpha_rarefaction_787_9.txt	787	9	161.0	84.625	396.66666666666663	462.27906976744185	463.1351351351351	427.2	391.27272727272725	94.8	82.27272727272728	170.0
alpha_rarefaction_1564_0.txt	1564	0	201.0	98.21428571428572	581.5535714285714	653.5	620.7142857142858	698.6153846153846	591.2727272727273	258.6	175.66666666666669	114.46153846153845
alpha_rarefaction_1564_1.txt	1564	1	268.1	114.4	540.7166666666667	682.1351351351352	590.7777777777778	550.5192307692307	542.5	145.36363636363637	156.0	116.0
alpha_rarefaction_1564_2.txt	1564	2	202.66666666666669	173.85714285714286	825.84375	627.0222222222222	527.516129032258	685.0	549.8448275862069	135.23529411764707	142.42857142857144	126.4
alpha_rarefaction_1564_3.txt	1564	3	196.83333333333331	150.15384615384616	483.85	502.1034482758621	583.6724137931035	578.0175438596491	788.5384615384615	135.92857142857144	146.375	82.0
alpha_rarefaction_1564_4.txt	1564	4	186.55	157.0	639.7222222222222	554.1818181818182	607.0526315789473	647.2692307692307	521.7166666666667	133.92857142857144	148.0	143.0
alpha_rarefaction_1564_5.txt	1564	5	157.33333333333334	115.4	520.438596491228	638.3488372093022	572.2786885245902	588.625	623.6666666666667	141.85714285714286	171.6	182.0
alpha_rarefaction_1564_6.txt	1564	6	171.55	130.0	653.4666666666667	651.5277777777778	596.6	640.3584905660377	715.8181818181818	129.5	112.27272727272728	176.5
alpha_rarefaction_1564_7.txt	1564	7	349.8571428571429	126.85714285714286	575.6153846153846	880.25	620.3529411764706	690.56	556.875	271.0	117.5	126.54545454545455
alpha_rarefaction_1564_8.txt	1564	8	234.75	132.9090909090909	445.0151515151515	628.9607843137255	522.7142857142858	677.5	659.1224489795918	154.9090909090909	190.875	129.33333333333334
alpha_rarefaction_1564_9.txt	1564	9	210.9375	110.0	593.6382978723404	580.5	605.7843137254902	613.3	592.0169491525423	187.5	125.11111111111111	137.0769230769231
alpha_rarefaction_2341_0.txt	2341	0	221.625	145.33333333333331	821.8983050847457	700.9516129032259	673.7391304347826	740.1034482758621	670.59375	187.5	166.76923076923077	185.625
alpha_rarefaction_2341_1.txt	2341	1	179.3846153846154	195.36363636363637	720.0181818181818	682.5	749.1111111111111	768.0298507462687	767.3	164.58823529411765	140.5	163.3
alpha_rarefaction_2341_2.txt	2341	2	188.0	100.17647058823529	695.5454545454545	659.734375	786.8125	739.2	796.6842105263158	136.15384615384616	198.9090909090909	143.4375
alpha_rarefaction_2341_3.txt	2341	3	219.84	124.58333333333334	776.0612244897959	651.4307692307692	682.65625	777.655737704918	775.0526315789473	204.75	198.875	181.05882352941177
alpha_rarefaction_2341_4.txt	2341	4	203.55	135.5263157894737	698.2857142857142	739.551724137931	666.8461538461538	798.4242424242425	700.9516129032259	158.06666666666666	194.5	183.07142857142856
alpha_rarefaction_2341_5.txt	2341	5	204.53846153846155	146.06666666666666	716.3870967741935	671.3684210526316	704.5	679.1304347826087	643.85	174.83333333333331	168.5	197.0
alpha_rarefaction_2341_6.txt	2341	6	213.31578947368422	190.1	796.6545454545454	737.5645161290322	662.5185185185185	714.2307692307693	691.6603773584906	168.1764705882353	169.15384615384616	262.16666666666663
alpha_rarefaction_2341_7.txt	2341	7	279.05555555555554	174.5	711.0166666666667	762.125	761.2641509433962	658.6184210526316	677.8181818181818	205.25	107.33333333333333	222.6
alpha_rarefaction_2341_8.txt	2341	8	150.3846153846154	197.8	649.4	718.3134328358209	660.48	657.2173913043478	657.1818181818182	172.5	181.0	142.75
alpha_rarefaction_2341_9.txt	2341	9	299.4375	156.3529411764706	689.3888888888889	697.8	690.1481481481482	734.8032786885246	658.55	195.11111111111111	167.83333333333331	301.1428571428571
alpha_rarefaction_3118_0.txt	3118	0	198.03333333333333	145.8125	787.4285714285714	894.0178571428571	823.2307692307693	728.1	779.1518987341772	197.05882352941177	280.0	284.0769230769231
alpha_rarefaction_3118_1.txt	3118	1	200.1	207.0769230769231	760.88	995.0952380952381	684.2093023255813	802.5696202531645	1013.2075471698113	200.4375	134.4	169.91304347826087
alpha_rarefaction_3118_2.txt	3118	2	223.6521739130435	165.4736842105263	797.5138888888889	795.3943661971831	818.3943661971831	748.7590361445783	844.6282051282051	155.0	228.27272727272725	240.0
alpha_rarefaction_3118_3.txt	3118	3	243.33333333333331	206.66666666666669	908.3181818181818	865.0806451612902	816.04	817.6282051282051	766.3134328358209	232.76923076923077	132.8	243.15384615384616
alpha_rarefaction_3118_4.txt	3118	4	202.0	166.3529411764706	715.3333333333333	767.041095890411	781.48	827.5	778.8208955223881	194.05882352941177	191.1764705882353	263.8666666666667
alpha_rarefaction_3118_5.txt	3118	5	214.5	151.89473684210526	785.304347826087	656.8125	749.8690476190476	803.6962025316456	661.8125	223.0	176.83333333333331	163.89473684210526
alpha_rarefaction_3118_6.txt	3118	6	198.12	131.0	709.8918918918919	860.8970588235294	813.5405405405405	833.2142857142858	765.3333333333333	199.07142857142856	365.42857142857144	178.71428571428572
alpha_rarefaction_3118_7.txt	3118	7	233.6206896551724	154.26086956521738	889.3	772.0	791.5138888888889	720.685393258427	807.655737704918	186.0	197.71428571428572	170.04545454545456
alpha_rarefaction_3118_8.txt	3118	8	212.60714285714286	209.07142857142856	713.8	764.8518518518518	792.5844155844156	774.7142857142858	788.041095890411	170.05555555555554	165.89473684210526	184.0
