	sequences per sample	iteration	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
alpha_rarefaction_10_0.txt	10	0	5.0	6.0	10.0	10.0	8.0	8.0	10.0	6.0	5.0	2.0
alpha_rarefaction_10_1.txt	10	1	4.0	4.0	10.0	9.0	10.0	9.0	8.0	5.0	6.0	5.0
alpha_rarefaction_10_2.txt	10	2	4.0	4.0	10.0	10.0	10.0	8.0	9.0	6.0	7.0	3.0
alpha_rarefaction_10_3.txt	10	3	5.0	5.0	8.0	10.0	9.0	10.0	9.0	7.0	3.0	2.0
alpha_rarefaction_10_4.txt	10	4	5.0	5.0	8.0	10.0	10.0	9.0	10.0	5.0	5.0	4.0
alpha_rarefaction_10_5.txt	10	5	4.0	2.0	9.0	8.0	9.0	9.0	9.0	4.0	3.0	2.0
alpha_rarefaction_10_6.txt	10	6	4.0	2.0	9.0	8.0	7.0	10.0	8.0	5.0	6.0	6.0
alpha_rarefaction_10_7.txt	10	7	5.0	2.0	9.0	8.0	9.0	10.0	10.0	4.0	4.0	4.0
alpha_rarefaction_10_8.txt	10	8	5.0	2.0	9.0	10.0	9.0	6.0	9.0	5.0	7.0	5.0
alpha_rarefaction_10_9.txt	10	9	4.0	2.0	9.0	9.0	7.0	9.0	10.0	4.0	3.0	4.0
alpha_rarefaction_787_0.txt	787	0	63.0	40.0	237.0	213.0	241.0	218.0	223.0	59.0	56.0	43.0
alpha_rarefaction_787_1.txt	787	1	66.0	42.0	226.0	230.0	228.0	234.0	224.0	61.0	63.0	48.0
alpha_rarefaction_787_2.txt	787	2	66.0	47.0	241.0	209.0	227.0	222.0	229.0	65.0	58.0	50.0
alpha_rarefaction_787_3.txt	787	3	62.0	42.0	234.0	224.0	227.0	245.0	210.0	55.0	46.0	50.0
alpha_rarefaction_787_4.txt	787	4	66.0	45.0	235.0	214.0	230.0	223.0	205.0	58.0	49.0	46.0
alpha_rarefaction_787_5.txt	787	5	69.0	48.0	242.0	227.0	224.0	228.0	211.0	61.0	55.0	49.0
alpha_rarefaction_787_6.txt	787	6	63.0	41.0	232.0	222.0	235.0	210.0	227.0	54.0	47.0	42.0
alpha_rarefaction_787_7.txt	787	7	65.0	52.0	215.0	236.0	229.0	229.0	228.0	55.0	54.0	54.0
alpha_rarefaction_787_8.txt	787	8	68.0	41.0	237.0	220.0	225.0	238.0	226.0	53.0	57.0	45.0
alpha_rarefaction_787_9.txt	787	9	75.0	44.0	238.0	236.0	233.0	224.0	229.0	57.0	55.0	44.0
alpha_rarefaction_1564_0.txt	1564	0	95.0	65.0	337.0	329.0	331.0	346.0	327.0	78.0	80.0	66.0
alpha_rarefaction_1564_1.txt	1564	1	97.0	70.0	334.0	312.0	331.0	312.0	307.0	78.0	78.0	77.0
alpha_rarefaction_1564_2.txt	1564	2	100.0	68.0	328.0	319.0	330.0	331.0	325.0	87.0	67.0	77.0
alpha_rarefaction_1564_3.txt	1564	3	105.0	74.0	317.0	312.0	336.0	326.0	333.0	83.0	72.0	62.0
alpha_rarefaction_1564_4.txt	1564	4	101.0	67.0	348.0	320.0	343.0	334.0	315.0	81.0	74.0	69.0
