	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
WT.day3.14	0.0	0.6248154850953278	0.8140048120799801	0.805948178983523	0.8239476696229322	0.8210608491040974	0.8175447466701091	0.5656590077402637	0.5894897712778975	0.5230034955208707
WT.day3.15	0.6248154850953278	0.0	0.7688532664458907	0.7596774598060304	0.7752341521030546	0.7686062629988363	0.769629831119443	0.4547957673432741	0.5401061386842356	0.49756810848343747
WT.unt.4	0.8140048120799801	0.7688532664458907	0.0	0.3915124753917889	0.3833230442691289	0.4205450142666407	0.3737762117607937	0.7692488515640745	0.8069372354265537	0.781766315726506
WT.unt.2	0.805948178983523	0.7596774598060304	0.3915124753917889	0.0	0.4035241416767418	0.3839680092846989	0.39965547764224285	0.7511238376968196	0.7791955050836594	0.7673370734370146
WT.unt.1	0.8239476696229322	0.7752341521030546	0.3833230442691289	0.4035241416767418	0.0	0.3426703140286699	0.367776750565299	0.7873730903329181	0.8215367691481752	0.7988023621711539
WT.unt.3	0.8210608491040974	0.7686062629988363	0.4205450142666407	0.3839680092846989	0.3426703140286699	0.0	0.3971537942141272	0.7566324077370525	0.7929766020817396	0.77152201057848
WT.unt.7	0.8175447466701091	0.769629831119443	0.3737762117607937	0.39965547764224285	0.367776750565299	0.3971537942141272	0.0	0.7767308484572519	0.7975143596872155	0.7804427195357353
WT.day3.11	0.5656590077402637	0.4547957673432741	0.7692488515640745	0.7511238376968196	0.7873730903329181	0.7566324077370525	0.7767308484572519	0.0	0.5303492570359098	0.48882583707837424
WT.day3.9	0.5894897712778975	0.5401061386842356	0.8069372354265537	0.7791955050836594	0.8215367691481752	0.7929766020817396	0.7975143596872155	0.5303492570359098	0.0	0.5283604488275359
WT.day3.13	0.5230034955208707	0.49756810848343747	0.781766315726506	0.7673370734370146	0.7988023621711539	0.77152201057848	0.7804427195357353	0.48882583707837424	0.5283604488275359	0.0
