	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
WT.day3.14	0.0	0.2024330439249936	0.39612283200616494	0.3191830619059851	0.36752266632417163	0.35844464680195226	0.34165172489082973	0.14834417287438995	0.24427218597482664	0.1672361584895967
WT.day3.15	0.2024330439249936	0.0	0.39043816979193424	0.42787872334960186	0.40262262008733624	0.4748103570511174	0.4250360711533522	0.3142207025430259	0.4044577472386335	0.31506776136655534
WT.unt.4	0.39612283200616494	0.39043816979193424	0.0	0.1896161507834575	0.10271123940405856	0.28421690084767537	0.15294201900847676	0.4703537169278192	0.5327421435910609	0.4869838556383252
WT.unt.2	0.3191830619059851	0.42787872334960186	0.1896161507834575	0.0	0.1258228898022091	0.1544376907269458	0.09439820575391729	0.3821479848445929	0.44762151040328796	0.4091472604675058
WT.unt.1	0.36752266632417163	0.40262262008733624	0.10271123940405856	0.1258228898022091	0.0	0.2209033264834318	0.09577959542769071	0.440828298227588	0.5052957128178783	0.46155745055227326
WT.unt.3	0.35844464680195226	0.4748103570511174	0.28421690084767537	0.1544376907269458	0.2209033264834318	0.0	0.1868966182892371	0.3627458296943232	0.4213672668892885	0.3908589481119959
WT.unt.7	0.34165172489082973	0.4250360711533522	0.15294201900847676	0.09439820575391729	0.09577959542769071	0.1868966182892371	0.0	0.4113415206781403	0.47356445800154123	0.4289724813768302
WT.day3.11	0.14834417287438995	0.3142207025430259	0.4703537169278192	0.3821479848445929	0.440828298227588	0.3627458296943232	0.4113415206781403	0.0	0.1417404610839969	0.08896813511430773
WT.day3.9	0.24427218597482664	0.4044577472386335	0.5327421435910609	0.44762151040328796	0.5052957128178783	0.4213672668892885	0.47356445800154123	0.1417404610839969	0.0	0.13380328409966608
WT.day3.13	0.1672361584895967	0.31506776136655534	0.4869838556383252	0.4091472604675058	0.46155745055227326	0.3908589481119959	0.4289724813768302	0.08896813511430773	0.13380328409966608	0.0
