# Constructed from biom file
#OTU ID	WT.day3.11	WT.day3.13	WT.day3.14	WT.day3.15	WT.day3.9	WT.unt.1	WT.unt.2	WT.unt.3	WT.unt.4	WT.unt.7
Unassigned;Other;Other;Other;Other;Other	0.00043159257660768235	0.000213903743315508	0.00025687130747495504	0.0	0.0	0.003092075125973431	0.004183128050197537	0.0027513470136420956	0.0029926335174953965	0.0005763024435223605
k__Bacteria;Other;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.00022904260192395785	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.0	0.0	0.0003853069612124326	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.00034859400418312805	0.0005731972945087699	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.006797583081570998	0.02481283422459893	0.007063960955561264	0.03233939925454944	0.0035564177174264465	0.0	0.0	0.0	0.0	0.0002305209774089442
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.0	0.0	0.0	0.0	0.0	0.0	0.0006971880083662561	0.00034391837670526195	0.00011510128913443831	0.0006915629322268327
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0	0.0	0.00012843565373747752	0.0	0.00010777023386140747	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other	0.00010789814415192059	0.000106951871657754	0.0	0.0	0.00021554046772281495	0.0	0.00011619800139437602	0.00022927891780350797	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0014026758739749676	0.000427807486631016	0.0	0.00197325147993861	0.04095268886733485	0.00011452130096197893	0.007320474087845689	0.0035538232259543735	0.002186924493554328	0.0071461502996772695
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.4550064738886489	0.62192513368984	0.39802209093244323	0.28831396623547445	0.6585838991270611	0.016491067338524977	0.020799442249593306	0.016393442622950817	0.00886279926335175	0.01325495620101429
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.03420371169615883	0.022994652406417113	0.009375802722835861	0.0008770006577504934	0.007651686604159931	0.0021759047182776	0.006042296072507553	0.006305170239596469	0.0024171270718232043	0.001037344398340249
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0005726065048098947	0.00034859400418312805	0.0012610340479192938	0.00046040515653775324	0.0004610419548178884
