Length	Count
184.0	60
194.0	77
204.0	69
214.0	30
224.0	84
234.0	430
244.0	8634
--

Length	Count
184.0	80
194.0	72
204.0	41
214.0	32
224.0	67
234.0	327
244.0	8825
--

Length	Count
222.0	252
232.0	359
242.0	494
252.0	494
262.0	342
272.0	505
282.0	311
292.0	5361
302.0	0
--

Length	Count
184.0	134
194.0	79
204.0	55
214.0	55
224.0	96
234.0	126
244.0	8737
--

Length	Count
184.0	67
194.0	84
204.0	54
214.0	41
224.0	76
234.0	219
244.0	8817
--

Length	Count
222.0	130
232.0	136
242.0	143
252.0	185
262.0	274
272.0	283
282.0	805
292.0	7120
302.0	0
--

Length	Count
222.0	145
232.0	149
242.0	187
252.0	192
262.0	254
272.0	366
282.0	884
292.0	6801
302.0	0
--

Length	Count
221.0	121
231.0	124
241.0	147
251.0	193
261.0	216
271.0	331
281.0	627
291.0	7304
301.0	0
--

Length	Count
222.0	105
232.0	133
242.0	155
252.0	195
262.0	290
272.0	290
282.0	821
292.0	7108
302.0	0
--

Length	Count
222.0	138
232.0	148
242.0	162
252.0	195
262.0	259
272.0	322
282.0	765
292.0	7060
302.0	0
--

