candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
1070563 WT.day3.11_1250	244		1143228	95.50	244
1081222 WT.day3.14_23284	253		4450244	95.70	253
1083508 WT.day3.14_23375	293		516809	97.30	293
1094991 WT.unt.3_69934	294		301630	93.20	294
110016 WT.unt.3_68876	294		110660	94.60	294
1104817 WT.unt.3_71476	294		163997	95.20	294
1105328 WT.unt.1_49848	293		512191	95.60	293
1105687 WT.unt.1_46763	294		325539	92.50	294
1106614 WT.unt.1_53948	267		271544	95.10	267
1107027 WT.unt.3_66320	293		4413327	91.50	293
1107057 WT.unt.1_47613	293		522863	96.90	293
1107461 WT.unt.2_56970	294		185258	93.20	294
1108078 WT.unt.1_46449	294		148219	89.50	294
1108356 WT.unt.3_68940	294		688883	92.50	294
1108453 WT.unt.2_59541	294		1108453	98.60	294
1108679 WT.day3.15_35652	190	No search results.
1108747 WT.unt.3_67911	293		301109	93.20	293
1110008 WT.day3.15_30102	244		176582	95.90	244
1110135 WT.unt.1_47235	293		522863	98.00	293
1110312 WT.unt.3_69099	294		159007	98.60	294
1110378 WT.unt.1_46011	294		182420	92.90	294
1110412 WT.unt.7_89923	294		2901960	88.80	294
1111191 WT.unt.1_46022	294		261016	99.00	294
1111294 WT.day3.13_16492	244		559954	95.50	244
1111350 WT.unt.1_53363	294		567229	91.50	294
1111512 WT.unt.1_47156	294		529506	92.50	294
111168 WT.day3.13_14314	244		559954	95.90	244
1112121 WT.unt.1_46014	294		259771	93.90	294
1122504 WT.unt.1_53381	294		537078	89.50	294
112891 WT.day3.11_1	244		4358761	95.10	244
113417 WT.unt.1_45780	293		4413256	93.90	293
1136443 WT.unt.1_45764	293		221240	86.70	293
114510 WT.day3.14_20248	293		559954	95.20	293
132165 WT.unt.3_65502	293		522863	96.60	293
137043 WT.unt.4_72791	293		518033	91.10	293
1517774 WT.unt.1_48785	293		110660	94.20	293
1517779 WT.day3.14_20805	294		529442	93.20	294
1569569 WT.unt.3_65835	237		3302038	96.60	237
1571092 WT.unt.1_48528	294		16272	91.50	294
161993 WT.unt.1_46514	294		51677	98.00	294
1663575 WT.day3.14_19306	278		559954	94.60	278
168145 WT.unt.1_47569	294		3302038	90.80	294
1684221 WT.unt.1_45707	293		304382	93.20	293
169704 WT.day3.13_9695	244		141661	94.70	244
170328 WT.unt.1_48640	293		4295019	85.30	293
170926 WT.unt.2_57738	294		182420	93.50	294
171322 WT.unt.1_50557	242		289569	93.00	242
172464 WT.unt.4_81085	255		512191	88.20	255
173245 WT.unt.4_74733	294		289569	96.30	294
173654 WT.day3.13_16097	244		559954	95.90	244
1737536 WT.unt.4_72869	294		290002	94.20	294
1740498 WT.day3.9_36744	244		3882796	92.20	244
174805 WT.unt.2_61690	294		182893	90.80	294
175272 WT.unt.1_50160	279		182893	90.00	279
175377 WT.unt.1_47770	264		300457	93.20	264
175458 WT.unt.1_45793	294		182893	94.60	294
175646 WT.unt.1_50201	294		171617	100.00	294
175706 WT.day3.14_22000	294		306695	89.80	294
175712 WT.unt.3_69850	294		529442	90.50	294
176026 WT.day3.13_10313	244		171617	92.60	244
176030 WT.unt.1_49861	294		522863	97.60	294
176172 WT.unt.4_76497	270		352165	96.70	270
176455 WT.unt.2_57780	294		527437	90.10	294
176582 WT.unt.2_63081	294		176582	99.70	294
176925 WT.unt.2_60524	294		148219	90.80	294
177269 WT.day3.14_22411	277		351478	98.20	277
177512 WT.unt.3_67216	294		233435	92.20	294
178735 WT.unt.2_55560	293		589920	88.10	293
179907 WT.unt.2_61951	293		529506	96.20	293
180235 WT.unt.7_88871	294		263546	95.20	294
180869 WT.unt.3_64992	294		180869	99.30	294
181717 WT.unt.2_58210	294		181717	100.00	294
182470 WT.unt.2_63156	294		189190	98.30	294
182621 WT.unt.1_53726	239		197460	95.80	239
183662 WT.day3.11_5589	244		194286	95.10	244
183773 WT.day3.9_38626	244		233435	99.20	244
184381 WT.unt.7_82596	256		306695	91.00	256
1844565 WT.unt.1_45843	294		529506	93.20	294
185185 WT.day3.14_22729	294		522549	91.80	294
185258 WT.unt.1_53129	294		185258	98.00	294
185328 WT.unt.3_68845	294		527437	90.10	294
185923 WT.unt.2_56383	293		185258	98.30	293
186233 WT.day3.14_21676	294		194286	94.60	294
186711 WT.unt.1_46622	294		516290	89.50	294
186714 WT.unt.1_51314	294		516290	89.50	294
186981 WT.day3.11_8604	243		183870	94.20	243
187223 WT.unt.7_85743	266		178438	89.10	266
188457 WT.unt.3_67019	237		289569	96.20	237
188741 WT.unt.1_49613	293		305127	96.20	293
189024 WT.unt.4_73608	294		271544	95.20	294
189076 WT.day3.11_11	244		4358761	95.90	244
190026 WT.unt.3_67697	284		190026	98.20	284
190673 WT.unt.1_46170	294		161571	91.20	294
191445 WT.unt.1_47324	284		3302038	93.00	284
192316 WT.unt.3_69500	294		182893	92.50	294
192701 WT.unt.2_57163	285		192701	97.20	285
192752 WT.unt.2_55921	263		522863	86.30	263
193139 WT.unt.3_66497	294		132657	93.50	294
193288 WT.unt.7_83789	294		271544	94.20	294
194490 WT.unt.1_45996	291		529442	93.10	291
1951826 WT.day3.15_34894	244		559954	95.10	244
195543 WT.unt.2_62259	222		306695	92.30	222
195711 WT.unt.2_57648	294		13932	88.10	294
195982 WT.unt.1_47082	294		303574	98.60	294
196070 WT.unt.2_61163	294		522863	86.70	294
196349 WT.unt.1_51298	294		182420	94.90	294
196385 WT.day3.11_227	244		182893	92.20	244
196571 WT.unt.4_76986	252		189190	96.40	252
196578 WT.day3.9_39104	244		182893	95.50	244
196733 WT.unt.2_59625	275		522549	92.70	275
196749 WT.unt.7_81832	293		522863	96.90	293
196947 WT.unt.1_45722	294		527437	90.50	294
197038 WT.unt.2_54816	272		306695	91.50	272
197072 WT.day3.9_43719	196	No search results.
197367 WT.unt.2_61739	294		183870	91.80	294
